player_id,next_1_opp,next_1_diff,next_2_opp,next_2_diff,next_3_opp,next_3_diff,next_4_opp,next_4_diff,next_5_opp,next_5_diff
1,HUL,2,bre,3,BOU,3,eve,3,TOT,3
4,bou,3,CHE,4,avl,4,LIV,4,hul,2
11,mun,4,SUN,2,liv,4,IPS,2,avl,4
12,cry,3,eve,3,FUL,2,mci,5,NFO,3
15,che,4,new,3,EVE,3,ful,3,BRE,3
22,BRE,3,LIV,4,che,4,SUN,2,mun,4
24,IPS,2,lee,3,NFO,3,bha,3,NEW,2
39,tot,3,IPS,2,hul,2,CHE,4,ars,5
44,NFO,3,tot,3,BRE,3,new,3,MCI,4
47,liv,4,MUN,4,ips,2,HUL,2,cov,2
53,lee,3,HUL,2,cov,2,AVL,3,cry,3
55,cry,3,eve,3,FUL,2,mci,5,NFO,3
58,BRE,3,LIV,4,che,4,SUN,2,mun,4
61,FUL,2,bou,3,MCI,4,bre,3,BHA,2
65,FUL,2,bou,3,MCI,4,bre,3,BHA,2
73,cry,3,eve,3,FUL,2,mci,5,NFO,3
75,FUL,2,bou,3,MCI,4,bre,3,BHA,2
82,MCI,4,ful,3,TOT,3,lee,3,BOU,3
84,NFO,3,tot,3,BRE,3,new,3,MCI,4
87,cov,2,ARS,4,sun,3,CRY,3,liv,4
98,EVE,3,AVL,3,mun,4,COV,2,che,4
99,MCI,4,ful,3,TOT,3,lee,3,BOU,3
107,NFO,3,tot,3,BRE,3,new,3,MCI,4
117,lee,3,HUL,2,cov,2,AVL,3,cry,3
122,mun,4,SUN,2,liv,4,IPS,2,avl,4
123,liv,4,MUN,4,ips,2,HUL,2,cov,2
126,EVE,3,AVL,3,mun,4,COV,2,che,4
129,EVE,3,AVL,3,mun,4,COV,2,che,4
138,ARS,4,mci,5,BHA,2,bou,3,LEE,2
143,EVE,3,AVL,3,mun,4,COV,2,che,4
149,IPS,2,lee,3,NFO,3,bha,3,NEW,2
152,MCI,4,ful,3,TOT,3,lee,3,BOU,3
160,cov,2,ARS,4,sun,3,CRY,3,liv,4
165,IPS,2,lee,3,NFO,3,bha,3,NEW,2
166,EVE,3,AVL,3,mun,4,COV,2,che,4
173,cry,3,eve,3,FUL,2,mci,5,NFO,3
191,sun,3,bha,3,LEE,2,nfo,3,EVE,3
192,HUL,2,bre,3,BOU,3,eve,3,TOT,3
196,liv,4,MUN,4,ips,2,HUL,2,cov,2
208,BHA,2,nfo,3,NEW,2,tot,3,FUL,2
209,NFO,3,tot,3,BRE,3,new,3,MCI,4
216,EVE,3,AVL,3,mun,4,COV,2,che,4
221,NEW,2,CRY,3,ars,5,MUN,4,sun,3
222,tot,3,IPS,2,hul,2,CHE,4,ars,5
225,MCI,4,ful,3,TOT,3,lee,3,BOU,3
227,sun,3,bha,3,LEE,2,nfo,3,EVE,3
229,MCI,4,ful,3,TOT,3,lee,3,BOU,3
230,sun,3,bha,3,LEE,2,nfo,3,EVE,3
240,avl,4,COV,2,cry,3,ARS,4,ips,2
242,EVE,3,AVL,3,mun,4,COV,2,che,4
245,bou,3,CHE,4,avl,4,LIV,4,hul,2
247,liv,4,MUN,4,ips,2,HUL,2,cov,2
248,FUL,2,bou,3,MCI,4,bre,3,BHA,2
252,cry,3,eve,3,FUL,2,mci,5,NFO,3
255,bou,3,CHE,4,avl,4,LIV,4,hul,2
256,BHA,2,nfo,3,NEW,2,tot,3,FUL,2
257,tot,3,IPS,2,hul,2,CHE,4,ars,5
258,MCI,4,ful,3,TOT,3,lee,3,BOU,3
273,IPS,2,lee,3,NFO,3,bha,3,NEW,2
285,IPS,2,lee,3,NFO,3,bha,3,NEW,2
289,MCI,4,ful,3,TOT,3,lee,3,BOU,3
290,cry,3,eve,3,FUL,2,mci,5,NFO,3
293,IPS,2,lee,3,NFO,3,bha,3,NEW,2
295,avl,4,COV,2,cry,3,ARS,4,ips,2
303,tot,3,IPS,2,hul,2,CHE,4,ars,5
306,cry,3,eve,3,FUL,2,mci,5,NFO,3
309,sun,3,bha,3,LEE,2,nfo,3,EVE,3
313,mun,4,SUN,2,liv,4,IPS,2,avl,4
317,che,4,new,3,EVE,3,ful,3,BRE,3
318,FUL,2,bou,3,MCI,4,bre,3,BHA,2
319,HUL,2,bre,3,BOU,3,eve,3,TOT,3
323,FUL,2,bou,3,MCI,4,bre,3,BHA,2
327,EVE,3,AVL,3,mun,4,COV,2,che,4
334,EVE,3,AVL,3,mun,4,COV,2,che,4
337,FUL,2,bou,3,MCI,4,bre,3,BHA,2
341,IPS,2,lee,3,NFO,3,bha,3,NEW,2
346,lee,3,HUL,2,cov,2,AVL,3,cry,3
349,EVE,3,AVL,3,mun,4,COV,2,che,4
350,bou,3,CHE,4,avl,4,LIV,4,hul,2
360,NEW,2,CRY,3,ars,5,MUN,4,sun,3
361,BRE,3,LIV,4,che,4,SUN,2,mun,4
363,avl,4,COV,2,cry,3,ARS,4,ips,2
369,HUL,2,bre,3,BOU,3,eve,3,TOT,3
372,cry,3,eve,3,FUL,2,mci,5,NFO,3
374,che,4,new,3,EVE,3,ful,3,BRE,3
375,cry,3,eve,3,FUL,2,mci,5,NFO,3
378,BRE,3,LIV,4,che,4,SUN,2,mun,4
379,cry,3,eve,3,FUL,2,mci,5,NFO,3
385,sun,3,bha,3,LEE,2,nfo,3,EVE,3
389,IPS,2,lee,3,NFO,3,bha,3,NEW,2
391,sun,3,bha,3,LEE,2,nfo,3,EVE,3
393,EVE,3,AVL,3,mun,4,COV,2,che,4
402,EVE,3,AVL,3,mun,4,COV,2,che,4
408,cov,2,ARS,4,sun,3,CRY,3,liv,4
413,MCI,4,ful,3,TOT,3,lee,3,BOU,3
421,EVE,3,AVL,3,mun,4,COV,2,che,4
425,NEW,2,CRY,3,ars,5,MUN,4,sun,3
430,FUL,2,bou,3,MCI,4,bre,3,BHA,2
437,IPS,2,lee,3,NFO,3,bha,3,NEW,2
439,sun,3,bha,3,LEE,2,nfo,3,EVE,3
442,IPS,2,lee,3,NFO,3,bha,3,NEW,2
456,mun,4,SUN,2,liv,4,IPS,2,avl,4
458,BHA,2,nfo,3,NEW,2,tot,3,FUL,2
463,liv,4,MUN,4,ips,2,HUL,2,cov,2
464,NFO,3,tot,3,BRE,3,new,3,MCI,4
466,HUL,2,bre,3,BOU,3,eve,3,TOT,3
470,FUL,2,bou,3,MCI,4,bre,3,BHA,2
471,BRE,3,LIV,4,che,4,SUN,2,mun,4
476,mun,4,SUN,2,liv,4,IPS,2,avl,4
483,mun,4,SUN,2,liv,4,IPS,2,avl,4
484,NEW,2,CRY,3,ars,5,MUN,4,sun,3
487,sun,3,bha,3,LEE,2,nfo,3,EVE,3
488,BHA,2,nfo,3,NEW,2,tot,3,FUL,2
492,cov,2,ARS,4,sun,3,CRY,3,liv,4
495,sun,3,bha,3,LEE,2,nfo,3,EVE,3
498,lee,3,HUL,2,cov,2,AVL,3,cry,3
503,cov,2,ARS,4,sun,3,CRY,3,liv,4
506,FUL,2,bou,3,MCI,4,bre,3,BHA,2
510,avl,4,COV,2,cry,3,ARS,4,ips,2
519,HUL,2,bre,3,BOU,3,eve,3,TOT,3
532,BRE,3,LIV,4,che,4,SUN,2,mun,4
538,BHA,2,nfo,3,NEW,2,tot,3,FUL,2
