player_id,full_name,web_name
1,Aaron Anselmino,
2,Aaron Connolly,Connolly
3,Aaron Cresswell,Cresswell
4,Aaron Hickey,Hickey
5,Aaron Lennon,Lennon
6,Aaron Mooy,Mooy
7,Aaron Ramsdale,Ramsdale
8,Aaron Ramsey,Ramsey
9,Aaron Wan Bissaka,Wan-Bissaka
10,Abdoulaye Doucouré,Doucouré
11,Abdukodir Khusanov,
12,Abdul Fatawu,
13,Abdul Rahman Baba,Baba
14,Aboubakar Kamara,Kamara
15,Abu Kamara,Kamara
16,Adam Armstrong,A.Armstrong
17,Adam Davies,A.Davies
18,Adam Forshaw,Forshaw
19,Adam Idah,Idah
20,Adam Lallana,Lallana
21,Adam Masina,Masina
22,Adam Smith,Smith
23,Adam Webster,Webster
24,Adam Wharton,Wharton
25,Adama Traoré Diarra,Adama
26,Adedapo Awokoya Mebude,Mebude
27,Ademipo Odubeko,Odubeko
28,Ademola Lookman,Lookman
29,Ademola Ola Adebomi,Ola-Adebomi
30,Admiral Muskwe,Muskwe
31,Adrian Blake,Blake
32,Adrian Mazilu,
33,Adrien Silva,Silva
34,Adrián Bernabé,Bernabé
35,Adrián San Miguel del Castillo,Adrián
36,Ahmed El Mohamady,El Mohamady
37,Ahmed El Sayed Hegazy,Hegazi
38,Aidan Francis Clarke,Francis-Clarke
39,Ainsley Maitland Niles,Maitland-Niles
40,Ajibola Alese,Alese
41,Albert Grønbæk,
42,Albert Sambi Lokonga,Sambi Lokonga
43,Albian Ajeti,Ajeti
44,Alejandro Garnacho,Garnacho
45,Alejo Véliz,Veliz
46,Aleksandar Mitrović,Mitrović
47,Alex Iwobi,Iwobi
48,Alex Kirk,Kirk
49,Alex Kral,Kral
50,Alex Matos,Matos
51,Alex McCarthy,McCarthy
52,Alex Mighten,Mighten
53,Alex Murphy,A.Murphy
54,Alex Oxlade Chamberlain,Chamberlain
55,Alex Palmer,
56,Alex Paulsen,
57,Alex Robertson,Robertson
58,Alex Scott,Scott
59,Alex Smithies,Smithies
60,Alex Telles,Telles
61,Alexander Isak,Isak
62,Alexandre Jankewitz,Jankewitz
63,Alexandre Lacazette,Lacazette
64,Alexandre Moreno Lopera,Álex Moreno
65,Alexis Mac Allister,Mac Allister
66,Alfie Devine,Devine
67,Alfie Dorrington,Dorrington
68,Alfie Doughty,Doughty
69,Alfie Gilchrist,Gilchrist
70,Alfie Mawson,Mawson
71,Alfie Pond,
72,Alfie Whiteman,Whiteman
73,Ali Al Hamadi,
74,Alireza Jahanbakhsh,Jahanbakhsh
75,Alisson Ramses Becker,Alisson
76,Allan Campbell,Campbell
77,Allan Marques Loureiro,Allan
78,Allan Saint Maximin,Saint-Maximin
79,Allan Tchaptchet,Tchaptchet
80,Alphonse Areola,Areola
81,Altay Bayindir,Altay
82,Amad Diallo,Diallo
83,Amadou Diallo,Diallo
84,Amadou Onana,Onana
85,Amara Nallo,Nallo
86,Amari'i Bell,Bell
87,Amario Cozier Duberry,Cozier-Duberry
88,Ameen Al Dakhil,Al-Dakhil
89,Anass Zaroury,Zaroury
90,Andi Zeqiri,Zeqiri
91,Andre Brooks,Brooks
92,Andre Gray,Gray
93,Andreas Christensen,Christensen
94,Andreas Hoelgebaum Pereira,Andreas
95,Andreas Söndergaard,Söndergaard
96,Andrew Moran,Moran
97,Andrew Omobamidele,Omobamidele
98,Andrew Robertson,Robertson
99,Andrey Nascimento dos Santos,Andrey Santos
100,Andriy Yarmolenko,Yarmolenko
101,Andros Townsend,Townsend
102,André Ayew,A.Ayew
103,André Frank Zambo Anguissa,Anguissa
104,André Onana,Onana
105,André Tavares Gomes,André Gomes
106,André Trindade da Costa Neto,
107,Andrés García,
108,Andy Carroll,Carroll
109,Andy Irving,
110,Andy Lonergan,Lonergan
111,Anel Ahmedhodžić,Ahmedhodžić
112,Angelo Ogbonna,Ogbonna
113,Angus Gunn,Gunn
114,Anis Slimane,Slimane
115,Anssumane Fati Vieira,Ansu Fati
116,Anthony Driscoll Glennon,Driscoll-Glennon
117,Anthony Elanga,Elanga
118,Anthony Gordon,Gordon
119,Anthony Knockaert,Knockaert
120,Anthony Mancini,Mancini
121,Anthony Martial,Martial
122,Antoine Semenyo,Semenyo
123,Antonee Robinson,Robinson
124,Antonio Rüdiger,Rüdiger
125,Antony Matheus dos Santos,Antony
126,Antonín Kinsky,
127,Antwoine Hackford,Hackford
128,Anwar El Ghazi,El Ghazi
129,Archie Gray,Gray
130,Archie Harris,
131,Aribim Pepple,Pepple
132,Arijanet Muric,Muric
133,Armando Broja,Broja
134,Armel Bella Kotchap,Bella-Kotchap
